3201,南京市,320102,玄武区,1,2,普通本科,113,南京农业大学,公办,32,江苏,农林类,双一流
4101,郑州市,410172,郑州高新技术产业开发区,1,2,普通本科,62,郑州大学,公办,41,河南,综合类,双一流
4401,广州市,440106,天河区,1,2,普通本科,106,暨南大学,公办,44,广东,综合类,双一流
2301,哈尔滨市,230103,南岗区,2,2,普通本科,429,哈尔滨医科大学,公办,23,黑龙江,医药类,
3201,南京市,320113,栖霞区,1,2,普通本科,115,南京师范大学,公办,32,江苏,师范类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,128,武汉理工大学,公办,42,湖北,理工类,双一流
3203,徐州市,320312,铜山区,1,2,普通本科,110,中国矿业大学,公办,32,江苏,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,53,对外经济贸易大学,公办,11,北京,财经类,双一流
2101,沈阳市,210113,沈北新区,2,2,普通本科,230,中国医科大学,公办,21,辽宁,医药类,
1101,北京市,110114,昌平区,1,2,普通本科,569,中国政法大学,公办,11,北京,政法类,双一流
3202,无锡市,320211,滨湖区,1,2,普通本科,86,江南大学,公办,32,江苏,综合类,双一流
1201,天津市,120101,和平区,1,2,普通本科,78,天津医科大学,公办,12,天津,医药类,双一流
3101,上海市,310113,宝山区,1,2,普通本科,76,上海大学,公办,31,上海,综合类,双一流
3702,青岛市,370212,崂山区,1,1,普通本科,61,中国海洋大学,公办,37,山东,综合类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,420,华中师范大学,公办,42,湖北,师范类,双一流
5101,成都市,510117,郫都区,1,2,普通本科,51,西南交通大学,公办,51,四川,理工类,双一流
3702,青岛市,370211,黄岛区,1,2,普通本科,120,中国石油大学（华东）,公办,37,山东,理工类,双一流
4201,武汉市,420111,洪山区,1,2,普通本科,121,中国地质大学（武汉）,公办,42,湖北,理工类,双一流
6101,西安市,610116,长安区,1,2,普通本科,334,陕西师范大学,公办,61,陕西,师范类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,48,北京邮电大学,公办,11,北京,理工类,双一流
3301,杭州市,0,,2,2,普通本科,242,浙江工业大学,公办,33,浙江,理工类,
3201,南京市,320115,江宁区,1,2,普通本科,116,河海大学,公办,32,江苏,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,30,北京工业大学,公办,11,北京,理工类,双一流
6101,西安市,610103,碑林区,1,2,普通本科,37,西北大学,公办,61,陕西,综合类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,556,北京化工大学,公办,11,北京,理工类,双一流
5001,重庆市,500109,北碚区,1,2,普通本科,934,西南大学,公办,50,重庆,综合类,双一流
5301,昆明市,530114,呈贡区,1,2,普通本科,35,云南大学,公办,53,云南,综合类,双一流
5101,成都市,510105,青羊区,1,2,普通本科,101,西南财经大学,公办,51,四川,财经类,双一流
3601,南昌市,360111,青山湖区,1,2,普通本科,108,南昌大学,公办,36,江西,综合类,双一流
4201,武汉市,420112,东西湖区,1,2,普通本科,414,中南财经政法大学,公办,42,湖北,财经类,双一流
4403,深圳市,440305,南山区,2,2,普通本科,284,深圳大学,公办,44,广东,综合类,
6104,咸阳市,610403,杨陵区,1,1,普通本科,332,西北农林科技大学,公办,61,陕西,农林类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,39,北京外国语大学,公办,11,北京,语言类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,830,中国地质大学（北京）,公办,11,北京,理工类,双一流
1101,北京市,110114,昌平区,1,2,普通本科,831,华北电力大学,公办,11,北京,理工类,双一流
3101,上海市,310117,松江区,1,2,普通本科,135,东华大学,公办,31,上海,综合类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,1006,中国矿业大学（北京）,公办,11,北京,理工类,双一流
3302,宁波市,330205,江北区,2,2,普通本科,240,宁波大学,公办,33,浙江,综合类,双一流
4401,广州市,440106,天河区,1,2,普通本科,98,华南师范大学,公办,44,广东,师范类,双一流
3211,镇江市,321102,京口区,2,2,普通本科,170,江苏大学,公办,32,江苏,综合类,
3501,福州市,350102,鼓楼区,1,2,普通本科,103,福州大学,公办,35,福建,理工类,双一流
3210,扬州市,321002,广陵区,2,2,普通本科,173,扬州大学,公办,32,江苏,综合类,
3401,合肥市,340103,庐阳区,1,2,普通本科,63,合肥工业大学,公办,34,安徽,理工类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,49,北京中医药大学,公办,11,北京,医药类,双一流
1101,北京市,110108,海淀区,1,2,普通本科,43,北京林业大学,公办,11,北京,农林类,双一流
1101,北京市,110105,朝阳区,1,2,普通本科,558,中国传媒大学,公办,11,北京,综合类,双一流
3201,南京市,0,,2,2,普通本科,160,南京邮电大学,公办,32,江苏,理工类,双一流
3101,上海市,310115,浦东新区,2,2,普通本科,3039,上海纽约大学,中外合作办学,31,上海,综合类,
4301,长沙市,0,,1,2,普通本科,58,湖南师范大学,公办,43,湖南,师范类,双一流
5001,重庆市,500103,渝中区,2,2,普通本科,178,重庆医科大学,公办,50,重庆,医药类,
3501,福州市,0,,2,2,普通本科,473,福建师范大学,公办,35,福建,师范类,
3307,金华市,0,,2,2,普通本科,241,浙江师范大学,公办,33,浙江,综合类,
3201,南京市,0,,2,2,普通本科,171,南京工业大学,公办,32,江苏,理工类,
4501,南宁市,450107,西乡塘区,1,2,普通本科,96,广西大学,公办,45,广西,综合类,双一流
1101,北京市,110108,海淀区,2,2,普通本科,589,首都师范大学,公办,11,北京,师范类,双一流
6101,西安市,0,,1,2,普通本科,36,长安大学,公办,61,陕西,理工类,双一流
3201,南京市,0,,2,2,普通本科,169,南京林业大学,公办,32,江苏,农林类,双一流
4401,广州市,440106,天河区,2,2,普通本科,287,华南农业大学,公办,44,广东,综合类,双一流
3101,上海市,310115,浦东新区,2,2,普通本科,310,上海中医药大学,公办,31,上海,医药类,双一流
3401,合肥市,0,,1,2,普通本科,67,安徽大学,公办,34,安徽,综合类,双一流
5201,贵阳市,520111,花溪区,1,2,普通本科,935,贵州大学,公办,52,贵州,综合类,双一流
3303,温州市,330304,瓯海区,2,2,普通本科,251,温州医科大学,公办,33,浙江,医药类,
3101,上海市,310109,虹口区,1,2,普通本科,136,上海外国语大学,公办,31,上海,语言类,双一流
3301,杭州市,0,,2,2,普通本科,159,杭州电子科技大学,公办,33,浙江,理工类,
4401,广州市,0,,2,2,普通本科,295,广州医科大学,公办,44,广东,医药类,双一流
4401,广州市,440113,番禺区,2,2,普通本科,293,广州大学,公办,44,广东,综合类,
4102,开封市,410202,龙亭区,2,2,普通本科,459,河南大学,公办,41,河南,综合类,双一流
2102,大连市,210204,沙河口区,2,2,普通本科,229,东北财经大学,公办,21,辽宁,财经类,
4401,广州市,440113,番禺区,2,2,普通本科,286,广东工业大学,公办,44,广东,理工类,
1401,太原市,140110,晋源区,2,2,普通本科,262,山西大学,公办,14,山西,综合类,双一流
4303,湘潭市,0,,2,2,普通本科,385,湘潭大学,公办,43,湖南,综合类,双一流
3201,南京市,320106,鼓楼区,1,2,普通本科,117,中国药科大学,公办,32,江苏,医药类,双一流
3201,南京市,0,,2,2,普通本科,166,南京信息工程大学,公办,32,江苏,综合类,双一流
1101,北京市,110108,海淀区,1,1,普通本科,45,中央民族大学,公办,11,北京,民族类,双一流
4601,海口市,460108,美兰区,1,2,普通本科,504,海南大学,公办,46,海南,综合类,双一流
3701,济南市,0,,2,2,普通本科,622,山东师范大学,公办,37,山东,师范类,
3301,杭州市,0,,2,2,普通本科,243,浙江理工大学,公办,33,浙江,理工类,
3101,上海市,310110,杨浦区,2,2,普通本科,307,上海理工大学,公办,31,上海,理工类,
1401,太原市,140106,迎泽区,1,2,普通本科,139,太原理工大学,公办,14,山西,理工类,双一流
1201,天津市,120113,北辰区,1,2,普通本科,41,河北工业大学,公办,12,天津,理工类,双一流
3702,青岛市,370212,崂山区,2,2,普通本科,499,青岛大学,公办,37,山东,综合类,
2102,大连市,210211,甘井子区,1,2,普通本科,33,大连海事大学,公办,21,辽宁,理工类,双一流
1101,北京市,110102,西城区,2,2,普通本科,581,外交学院,公办,11,北京,语言类,双一流
1303,秦皇岛市,130302,海港区,2,2,普通本科,599,燕山大学,公办,13,河北,综合类,
2301,哈尔滨市,230110,香坊区,1,2,普通本科,419,东北林业大学,公办,23,黑龙江,农林类,双一流
3302,宁波市,0,,2,2,普通本科,1216,宁波诺丁汉大学,中外合作办学,33,浙江,综合类,
6101,西安市,610103,碑林区,2,2,普通本科,351,西安建筑科技大学,公办,61,陕西,理工类,
5301,昆明市,0,,2,2,普通本科,342,昆明理工大学,公办,53,云南,理工类,
1501,呼和浩特市,150105,赛罕区,1,2,普通本科,32,内蒙古大学,公办,15,内蒙古,综合类,双一流
3601,南昌市,0,,2,2,普通本科,174,江西师范大学,公办,36,江西,师范类,
6101,西安市,610103,碑林区,2,2,普通本科,349,西安理工大学,公办,61,陕西,理工类,
3101,上海市,310104,徐汇区,2,2,普通本科,311,上海师范大学,公办,31,上海,综合类,
2102,大连市,0,,2,2,普通本科,219,大连医科大学,公办,21,辽宁,医药类,
3301,杭州市,330110,余杭区,2,2,普通本科,252,杭州师范大学,公办,33,浙江,综合类,
3205,苏州市,320583,昆山市,2,2,普通本科,3341,昆山杜克大学,中外合作办学,32,江苏,综合类,
2301,哈尔滨市,230110,香坊区,1,2,普通本科,137,东北农业大学,公办,23,黑龙江,农林类,双一流
1301,石家庄市,0,,2,2,普通本科,596,河北医科大学,公办,13,河北,医药类,
4201,武汉市,0,,2,2,普通本科,1007,武汉科技大学,公办,42,湖北,综合类,
3702,青岛市,0,,2,2,普通本科,537,山东科技大学,公办,37,山东,理工类,
6101,西安市,610112,未央区,2,2,普通本科,357,陕西科技大学,公办,61,陕西,理工类,
3501,福州市,350103,台江区,2,2,普通本科,468,福建农林大学,公办,35,福建,农林类,
3601,南昌市,0,,2,2,普通本科,175,江西财经大学,公办,36,江西,财经类,
4301,长沙市,430103,天心区,2,2,普通本科,389,长沙理工大学,公办,43,湖南,理工类,
1306,保定市,0,,2,2,普通本科,54,河北大学,公办,13,河北,综合类,
6401,银川市,640105,西夏区,1,2,普通本科,544,宁夏大学,公办,64,宁夏,综合类,双一流
6501,乌鲁木齐市,650102,天山区,1,2,普通本科,74,新疆大学,公办,65,新疆,综合类,双一流
5101,成都市,510114,新都区,2,2,普通本科,268,西南石油大学,公办,51,四川,综合类,双一流
2101,沈阳市,210105,皇姑区,1,2,普通本科,50,辽宁大学,公办,21,辽宁,综合类,双一流
3303,温州市,0,,2,2,普通本科,256,温州大学,公办,33,浙江,综合类,
4201,武汉市,0,,2,2,普通本科,425,湖北大学,公办,42,湖北,综合类,
5101,成都市,510115,温江区,1,2,普通本科,100,四川农业大学,公办,51,四川,农林类,双一流
2201,长春市,220104,朝阳区,2,2,普通本科,379,长春理工大学,公办,22,吉林,理工类,
3301,杭州市,0,,2,2,普通本科,257,浙江工商大学,公办,33,浙江,财经类,
6590,自治区直辖县级行政区划,659001,石河子市,1,2,普通本科,199,石河子大学,公办,65,新疆,综合类,双一流
3301,杭州市,330104,江干区,2,2,普通本科,247,中国计量大学,公办,33,浙江,理工类,
1201,天津市,120111,西青区,2,2,普通本科,80,天津工业大学,公办,12,天津,综合类,双一流
3201,南京市,320113,栖霞区,2,2,普通本科,162,南京中医药大学,公办,32,江苏,医药类,双一流
3402,芜湖市,0,,2,2,普通本科,314,安徽师范大学,公办,34,安徽,综合类,
3211,镇江市,0,,2,2,普通本科,161,江苏科技大学,公办,32,江苏,理工类,
1101,北京市,110106,丰台区,2,2,普通本科,875,首都经济贸易大学,公办,11,北京,财经类,
1201,天津市,120111,西青区,2,2,普通本科,79,天津师范大学,公办,12,天津,师范类,
3701,济南市,0,,2,2,普通本科,547,齐鲁工业大学,公办,37,山东,理工类,
1101,北京市,110108,海淀区,2,2,普通本科,592,北京语言大学,公办,11,北京,语言类,
3203,徐州市,0,,2,2,普通本科,167,江苏师范大学,公办,32,江苏,师范类,
3709,泰安市,0,,2,2,普通本科,542,山东农业大学,公办,37,山东,农林类,
3101,上海市,310115,浦东新区,2,2,普通本科,309,上海海洋大学,公办,31,上海,农林类,双一流
3501,福州市,0,,2,2,普通本科,1020,福建医科大学,公办,35,福建,医药类,
4201,武汉市,420111,洪山区,2,2,普通本科,433,湖北工业大学,公办,42,湖北,理工类,
3301,杭州市,0,,2,2,普通本科,249,浙江农林大学,公办,33,浙江,农林类,
3101,上海市,310117,松江区,2,2,普通本科,323,华东政法大学,公办,31,上海,政法类,
4101,郑州市,0,,2,2,普通本科,462,河南农业大学,公办,41,河南,农林类,
3204,常州市,0,,2,2,普通本科,156,常州大学,公办,32,江苏,理工类,
3205,苏州市,0,,2,2,普通本科,1343,西交利物浦大学,中外合作办学,32,江苏,综合类,
2101,沈阳市,210103,沈河区,2,2,普通本科,228,沈阳农业大学,公办,21,辽宁,农林类,
4107,新乡市,0,,2,2,普通本科,833,河南师范大学,公办,41,河南,师范类,
5001,重庆市,500108,南岸区,2,2,普通本科,184,重庆邮电大学,公办,50,重庆,理工类,
4401,广州市,0,,2,2,普通本科,289,广州中医药大学,公办,44,广东,医药类,双一流
3401,合肥市,0,,2,2,普通本科,70,安徽农业大学,公办,34,安徽,农林类,
5101,成都市,510108,成华区,2,2,普通本科,232,成都理工大学,公办,51,四川,理工类,双一流
3401,合肥市,340172,合肥经济技术开发区,2,2,普通本科,72,安徽医科大学,公办,34,安徽,医药类,
4503,桂林市,450305,七星区,2,2,普通本科,531,广西师范大学,公办,45,广西,师范类,
2301,哈尔滨市,230103,南岗区,2,2,普通本科,421,黑龙江大学,公办,23,黑龙江,综合类,
3101,上海市,310110,杨浦区,2,2,普通本科,324,上海体育大学,公办,31,上海,体育类,双一流
5001,重庆市,500112,渝北区,2,2,普通本科,180,西南政法大学,公办,50,重庆,政法类,
1101,北京市,110102,西城区,2,2,普通本科,572,北京建筑大学,公办,11,北京,理工类,
4201,武汉市,420112,东西湖区,2,2,普通本科,434,武汉工程大学,公办,42,湖北,理工类,
3206,南通市,320602,崇川区,2,2,普通本科,787,南通大学,公办,32,江苏,综合类,
