26,教育学学士,9700,74,本科,教育学,教育学类,科学教育,四年
22,教育学学士,9900,78,本科,教育学,教育学类,人文教育,四年
29,教育学学士,理学学士,工学学士,10100,71,本科,教育学,教育学类,教育技术学,四年
22,教育学学士,艺术学学士,10400,78,本科,教育学,教育学类,艺术教育,四年
6,教育学学士,9800,94,本科,教育学,教育学类,学前教育,四年
9,教育学学士,9000,91,本科,教育学,教育学类,小学教育,四年
22,教育学学士,10200,78,本科,教育学,教育学类,特殊教育,四年
67,教育学学士,13300,33,本科,教育学,教育学类,华文教育,四年
0,教育学学士,0,0,本科,教育学,教育学类,教育康复学,四年
0,教育学学士,0,0,本科,教育学,教育学类,卫生教育,四年
0,教育学学士,0,0,本科,教育学,教育学类,认知科学与技术,四年
0,教育学学士,0,0,本科,教育学,教育学类,融合教育,四年
0,教育学学士,0,0,本科,教育学,教育学类,劳动教育,四年
0,教育学学士,0,0,本科,教育学,教育学类,家庭教育,四年
0,教育学学士,0,0,本科,教育学,教育学类,孤独症儿童教育,四年
79,教育学学士,10400,21,本科,教育学,体育学类,体育教育,四年
72,教育学学士,9600,28,本科,教育学,体育学类,运动训练,四年
81,教育学学士,11600,19,本科,教育学,体育学类,社会体育指导与管理,四年
81,教育学学士,10300,19,本科,教育学,体育学类,武术与民族传统体育,四年
60,教育学学士,11400,40,本科,教育学,体育学类,运动人体科学,四年
56,教育学学士,理学学士,11700,44,本科,教育学,体育学类,运动康复,四年
79,教育学学士,8000,21,本科,教育学,体育学类,休闲体育,四年
0,教育学学士,0,0,本科,教育学,体育学类,体能训练,四年
0,教育学学士,0,0,本科,教育学,体育学类,冰雪运动,四年
0,教育学学士,0,0,本科,教育学,体育学类,电子竞技运动与管理,四年
0,教育学学士,工学学士,0,0,本科,教育学,体育学类,智能体育工程,四年
0,教育学学士,0,0,本科,教育学,体育学类,体育旅游,四年
0,教育学学士,理学学士,0,0,本科,教育学,体育学类,运动能力开发,四年
