1,0-99,1164,159489
2,0-99,1164,159489
3,0-99,1164,159489
4,0-99,1164,159489
5,0-99,1164,159489
6,0-99,1164,159489
7,0-99,1164,159489
8,0-99,1164,159489
9,0-99,1164,159489
10,0-99,1164,159489
11,0-99,1164,159489
12,0-99,1164,159489
13,0-99,1164,159489
14,0-99,1164,159489
15,0-99,1164,159489
16,0-99,1164,159489
17,0-99,1164,159489
18,0-99,1164,159489
19,0-99,1164,159489
20,0-99,1164,159489
21,0-99,1164,159489
22,0-99,1164,159489
23,0-99,1164,159489
24,0-99,1164,159489
25,0-99,1164,159489
26,0-99,1164,159489
27,0-99,1164,159489
28,0-99,1164,159489
29,0-99,1164,159489
30,0-99,1164,159489
31,0-99,1164,159489
32,0-99,1164,159489
33,0-99,1164,159489
34,0-99,1164,159489
35,0-99,1164,159489
36,0-99,1164,159489
37,0-99,1164,159489
38,0-99,1164,159489
39,0-99,1164,159489
40,0-99,1164,159489
41,0-99,1164,159489
42,0-99,1164,159489
43,0-99,1164,159489
44,0-99,1164,159489
45,0-99,1164,159489
46,0-99,1164,159489
47,0-99,1164,159489
48,0-99,1164,159489
49,0-99,1164,159489
50,0-99,1164,159489
51,0-99,1164,159489
52,0-99,1164,159489
53,0-99,1164,159489
54,0-99,1164,159489
55,0-99,1164,159489
56,0-99,1164,159489
57,0-99,1164,159489
58,0-99,1164,159489
59,0-99,1164,159489
60,0-99,1164,159489
61,0-99,1164,159489
62,0-99,1164,159489
63,0-99,1164,159489
64,0-99,1164,159489
65,0-99,1164,159489
66,0-99,1164,159489
67,0-99,1164,159489
68,0-99,1164,159489
69,0-99,1164,159489
70,0-99,1164,159489
71,0-99,1164,159489
72,0-99,1164,159489
73,0-99,1164,159489
74,0-99,1164,159489
75,0-99,1164,159489
76,0-99,1164,159489
77,0-99,1164,159489
78,0-99,1164,159489
79,0-99,1164,159489
80,0-99,1164,159489
81,0-99,1164,159489
82,0-99,1164,159489
83,0-99,1164,159489
84,0-99,1164,159489
85,0-99,1164,159489
86,0-99,1164,159489
87,0-99,1164,159489
88,0-99,1164,159489
89,0-99,1164,159489
90,0-99,1164,159489
91,0-99,1164,159489
92,0-99,1164,159489
93,0-99,1164,159489
94,0-99,1164,159489
95,0-99,1164,159489
96,0-99,1164,159489
97,0-99,1164,159489
98,0-99,1164,159489
99,0-99,1164,159489
100,100,1,158325
101,101,0,158324
102,102,0,158324
103,103,0,158324
104,104,0,158324
105,105,0,158324
106,106,2,158324
107,107,1,158322
108,108,3,158321
109,109,1,158318
110,110,0,158317
111,111,1,158317
112,112,2,158316
113,113,3,158314
114,114,1,158311
115,115,2,158310
116,116,2,158308
117,117,1,158306
118,118,1,158305
119,119,4,158304
120,120,1,158300
121,121,1,158299
122,122,3,158298
123,123,1,158295
124,124,3,158294
125,125,2,158291
126,126,5,158289
127,127,4,158284
128,128,1,158280
129,129,1,158279
130,130,4,158278
131,131,7,158274
132,132,4,158267
133,133,3,158263
134,134,4,158260
135,135,2,158256
136,136,0,158254
137,137,3,158254
138,138,2,158251
139,139,2,158249
140,140,6,158247
141,141,4,158241
142,142,3,158237
143,143,3,158234
144,144,5,158231
145,145,2,158226
146,146,7,158224
147,147,11,158217
148,148,9,158206
149,149,10,158197
150,150,7,158187
151,151,7,158180
152,152,6,158173
153,153,3,158167
154,154,6,158164
155,155,6,158158
156,156,4,158152
157,157,11,158148
158,158,9,158137
159,159,10,158128
160,160,9,158118
161,161,13,158109
162,162,12,158096
163,163,11,158084
164,164,14,158073
165,165,12,158059
166,166,16,158047
167,167,7,158031
168,168,15,158024
169,169,16,158009
170,170,18,157993
171,171,15,157975
172,172,11,157960
173,173,20,157949
174,174,16,157929
175,175,14,157913
176,176,23,157899
177,177,26,157876
178,178,12,157850
179,179,19,157838
180,180,18,157819
181,181,19,157801
182,182,25,157782
183,183,14,157757
184,184,24,157743
185,185,28,157719
186,186,36,157691
187,187,37,157655
188,188,24,157618
189,189,41,157594
190,190,41,157553
191,191,31,157512
192,192,41,157481
193,193,52,157440
194,194,63,157388
195,195,42,157325
196,196,44,157283
197,197,49,157239
198,198,46,157190
199,199,46,157144
200,200,60,157098
201,201,53,157038
202,202,61,156985
203,203,59,156924
204,204,54,156865
205,205,51,156811
206,206,54,156760
207,207,66,156706
208,208,57,156640
209,209,76,156583
210,210,80,156507
211,211,79,156427
212,212,63,156348
213,213,93,156285
214,214,90,156192
215,215,98,156102
216,216,106,156004
217,217,95,155898
218,218,112,155803
219,219,125,155691
220,220,103,155566
221,221,114,155463
222,222,111,155349
223,223,127,155238
224,224,121,155111
225,225,134,154990
226,226,114,154856
227,227,127,154742
228,228,130,154615
229,229,135,154485
230,230,144,154350
231,231,138,154206
232,232,173,154068
233,233,178,153895
234,234,152,153717
235,235,171,153565
236,236,153,153394
237,237,140,153241
238,238,156,153101
239,239,186,152945
240,240,178,152759
241,241,194,152581
242,242,179,152387
243,243,205,152208
244,244,191,152003
245,245,199,151812
246,246,229,151613
247,247,221,151384
248,248,214,151163
249,249,212,150949
250,250,225,150737
251,251,223,150512
252,252,230,150289
253,253,235,150059
254,254,247,149824
255,255,254,149577
256,256,248,149323
257,257,272,149075
258,258,282,148803
259,259,247,148521
260,260,249,148274
261,261,285,148025
262,262,299,147740
263,263,293,147441
264,264,301,147148
265,265,301,146847
266,266,323,146546
267,267,288,146223
268,268,304,145935
269,269,339,145631
270,270,293,145292
271,271,305,144999
272,272,321,144694
273,273,314,144373
274,274,333,144059
275,275,314,143726
276,276,325,143412
277,277,362,143087
278,278,334,142725
279,279,363,142391
280,280,360,142028
281,281,342,141668
282,282,370,141326
283,283,372,140956
284,284,369,140584
285,285,366,140215
286,286,389,139849
287,287,375,139460
288,288,353,139085
289,289,377,138732
290,290,402,138355
291,291,387,137953
292,292,395,137566
293,293,380,137171
294,294,417,136791
295,295,406,136374
296,296,405,135968
297,297,457,135563
298,298,429,135106
299,299,414,134677
300,300,451,134263
301,301,435,133812
302,302,441,133377
303,303,447,132936
304,304,421,132489
305,305,458,132068
306,306,451,131610
307,307,448,131159
308,308,445,130711
309,309,483,130266
310,310,461,129783
311,311,469,129322
312,312,497,128853
313,313,495,128356
314,314,498,127861
315,315,475,127363
316,316,506,126888
317,317,473,126382
318,318,527,125909
319,319,540,125382
320,320,542,124842
